,,Koupelna_prizemi tlacitko 3_LED,0/3/99,,,,DPST-5-5,Auto
,,Koupelna_prizemi tlacitko 4,0/3/100,,,,DPST-1-1,Auto
,,Koupelna_prizemi tlacitko 4_dlouhy,0/3/101,,,,DPST-1-1,Auto
,,Koupelna_prizemi tlacitko 4_LED,0/3/102,,,,DPST-5-5,Auto
,,Koupelna_prizemi tlacitko blokace,0/3/103,,,,DPST-1-1,Auto
,,Koupelna_prizemi vlhkomer absolutni_vlhkost,0/1/28,,,,DPST-9-1,Auto
,,Koupelna_prizemi vlhkomer vlhkost,0/1/26,,,,DPST-9-1,Auto
,,Kuchyne PIR jas,0/1/0,,,,DPST-9-4,Auto
,,Kuchyne PIR pohyb,0/2/13,,,,,Auto
,,Kuchyne PIR telpota,0/1/1,,,,,Auto
,,Kuchyne tlacitko 1,0/3/8,,,,DPST-1-1,Auto
,,Kuchyne tlacitko 1_dlouhy,0/3/12,,,,DPST-1-1,Auto
,,Kuchyne tlacitko 1_LED,0/3/16,,,,DPST-5-5,Auto
,,Kuchyne tlacitko 2,0/3/9,,,,DPST-1-1,Auto
,,Kuchyne tlacitko 2_dlouhy,0/3/13,,,,DPST-1-1,Auto
,,Kuchyne tlacitko 2_LED,0/3/17,,,,DPST-5-5,Auto
,,Kuchyne tlacitko 3,0/3/10,,,,DPST-1-1,Auto
,,Kuchyne tlacitko 3_dlouhy,0/3/14,,,,DPST-1-1,Auto
,,Kuchyne tlacitko 3_LED,0/3/18,,,,DPST-5-5,Auto
,,Kuchyne tlacitko 4,0/3/11,,,,DPST-1-1,Auto
,,Kuchyne tlacitko 4_dlouhy,0/3/15,,,,DPST-1-1,Auto
,,Kuchyne tlacitko 4_LED,0/3/19,,,,DPST-5-5,Auto
,,Kuchyne tlacitko blokace,0/3/21,,,,DPST-1-1,Auto
,,Kuchyne tlacitko teplota,0/1/2,,,,DPST-9-1,Auto
,,Master PIR jas,1/1/0,,,,DPST-9-4,Auto
,,Master PIR pohyb ,1/2/3,,,,DPST-1-1,Auto
,,Master PIR teplota ,1/1/1,,,,DPST-9-1,Auto
,,Master tlacitko 1,1/3/39,,,,DPST-1-1,Auto
,,Master tlacitko 1_dlouhy,1/3/43,,,,DPST-1-1,Auto
,,Master tlacitko 1_LED,1/3/47,,,,DPST-5-5,Auto
,,Master tlacitko 2,1/3/40,,,,DPST-1-1,Auto
,,Master tlacitko 2_dlouhy,1/3/44,,,,DPST-1-1,Auto
,,Master tlacitko 2_LED,1/3/48,,,,DPST-5-5,Auto
,,Master tlacitko 3,1/3/41,,,,DPST-1-1,Auto
,,Master tlacitko 3_dlouhy,1/3/45,,,,DPST-1-1,Auto
,,Master tlacitko 3_LED,1/3/49,,,,DPST-5-5,Auto
,,Master tlacitko 4,1/3/42,,,,DPST-1-1,Auto
,,Master tlacitko 4_dlouhy,1/3/46,,,,DPST-1-1,Auto
,,Master tlacitko 4_LED,1/3/50,,,,DPST-5-5,Auto
,,Master tlacitko blokace,1/3/51,,,,DPST-1-1,Auto
,,Master tlacitko teplota,1/1/8,,,,DPST-9-1,Auto
,,Obyvak PIR jas ,0/1/5,,,,DPST-9-4,Auto
,,Obyvak PIR pohyb ,0/2/3,,,,DPST-1-1,Auto
,,Obyvak PIR teplota ,0/1/4,,,,DPST-9-1,Auto
,,Obyvak tlacitko 1,0/3/0,,,,DPST-1-1,Auto
,,Obyvak tlacitko 1_dlouhy,0/3/4,,,,DPST-1-1,Auto
,,Obyvak tlacitko 1_LED,0/3/37,,,,DPST-5-5,Auto
,,Obyvak tlacitko 2,0/3/1,,,,DPST-1-1,Auto
,,Obyvak tlacitko 2_dlouhy,0/3/5,,,,DPST-1-1,Auto
,,Obyvak tlacitko 2_LED,0/3/36,,,,DPST-5-5,Auto
,,Obyvak tlacitko 3,0/3/2,,,,DPST-1-1,Auto
,,Obyvak tlacitko 3_dlouhy,0/3/6,,,,DPST-1-1,Auto
,,Obyvak tlacitko 3_LED,0/3/35,,,,DPST-5-5,Auto
,,Obyvak tlacitko 4,0/3/3,,,,DPST-1-1,Auto
,,Obyvak tlacitko 4_dlouhy,0/3/7,,,,DPST-1-1,Auto
,,Obyvak tlacitko 4_LED,0/3/34,,,,DPST-5-5,Auto
,,Obyvak tlacitko blokace,0/3/104,,,,DPST-1-1,Auto
,,Pokoj_prizemi PIR jas,0/1/16,,,,DPST-9-4,Auto
,,Pokoj_prizemi PIR pohyb,0/2/5,,,,DPST-1-1,Auto
,,Pokoj_prizemi PIR telpota,0/1/8,,,,DPST-9-1,Auto
,,Pokoj_prizemi tlacitko 1,0/3/78,,,,DPST-1-1,Auto
,,Pokoj_prizemi tlacitko 1_dlouhy,0/3/79,,,,DPST-1-1,Auto
,,Pokoj_prizemi tlacitko 1_LED,0/3/80,,,,DPST-5-5,Auto
,,Pokoj_prizemi tlacitko 2,0/3/81,,,,DPST-1-1,Auto
,,Pokoj_prizemi tlacitko 2_dlouhy,0/3/82,,,,DPST-1-1,Auto
,,Pokoj_prizemi tlacitko 2_LED,0/3/83,,,,DPST-5-5,Auto
,,Pokoj_prizemi tlacitko 3,0/3/84,,,,DPST-1-1,Auto
,,Pokoj_prizemi tlacitko 3_dlouhy,0/3/85,,,,DPST-1-1,Auto
,,Pokoj_prizemi tlacitko 3_LED,0/3/86,,,,DPST-5-5,Auto
,,Pokoj_prizemi tlacitko 4,0/3/87,,,,DPST-1-1,Auto
,,Pokoj_prizemi tlacitko 4_dlouhy,0/3/88,,,,DPST-1-1,Auto
,,Pokoj_prizemi tlacitko 4_LED,0/3/89,,,,DPST-5-5,Auto
,,Pokoj_prizemi tlacitko blokace,0/3/90,,,,DPST-1-1,Auto
,,Pokoj_prizemi tlacitko telpota,0/1/29,,,,DPST-9-1,Auto
,,Satna PIR jas,1/1/19,,,,DPST-9-4,Auto
,,Satna PIR pohyb,1/2/1,,,,DPST-1-1,Auto
,,Satna PIR telpota,1/1/20,,,,DPST-9-1,Auto
,,Spiz PIR jas,0/1/21,,,,DPST-9-4,Auto
,,Spiz PIR pohyb,0/2/9,,,,DPST-1-1,Auto
,,Spiz PIR telpota,0/1/11,,,,DPST-9-1,Auto
,,Technicka PIR jas,0/1/20,,,,DPST-9-4,Auto
,,Technicka PIR pohyb,0/2/6,,,,DPST-1-1,Auto
,,Technicka PIR telpota,0/1/24,,,,DPST-9-1,Auto
,,Technicka tlacitko 1,0/3/65,,,,DPST-1-1,Auto
